id	weight
กรุงเทพ	16
คอนโด	20
การศึกษา	18
ปริญญาตรี	5
โบราณ	5
เปลี่ยนงาน	20
สงสาร	34
ปล่อย	34
เงินเก็บ	33
สะดวก	12
เล่า	73
ชีวิตครอบครัว	12
แต่ง	31
หลัก	33
เดินทาง	42
ปน	5
ทางออก	10
ทางเลือก	17
ย้าย	60
ข้อดี	21
เทียบ	8
ความสัมพันธ์	23
ข้อเสีย	21
แต่งหน้า	22
ปรึกษา	33
ดื้อ	9
สงสัย	13
เวลาว่าง	11
กระทบ	15
สังสรรค์	10
เจอกัน	9
ผลกระทบ	10
เสื้อผ้า	79
เอาไว้	13
งานพิเศษ	6
หุ้น	12
ออกแบบ	8
ยืดหยุ่น	8
นโยบาย	18
ช่วยเหลือ	17
ปุ้ย	20
แนะนำ	45
สาย	32
ออสเตรเลีย	15
เมือง	36
ที่อยู่	34
ที่นี่	52
เรียนต่อ	8
ปู่ย่า	33
freelance	11
รับงาน	10
หัวหน้างาน	10
ช่วยกัน	25
รับได้	7
citizen	7
สมัคร	21
เงื่อนไข	7
คบ	38
แยกกัน	6
เรียบร้อย	27
ไม่แน่ใจ	16
สิทธิ	17
ลาคลอด	15
ค่าเลี้ยงดู	5
หลังคลอด	10
ระยะเวลา	14
บัญชี	16
ว่าไม่ได้	21
อยู่แล้ว	88
คืน	33
ได้คิด	11
มีประสบการณ์	11
ลำพัง	7
ราคา	29
เป็นประจำ	7
โทร	55
ขอโทษ	17
ไม่ทำงาน	15
ไม่ว่าง	5
ไปมา	7
กิจกรรม	24
self	5
สถานการณ์	16
พึ่งพา	5
ตรงนั้น	31
ของกิน	9
ข้างนอก	19
เงินสด	10
ญาติ	28
การเปลี่ยนแปลง	6
เก็บของ	6
แบ่ง	14
happy	9
ติด	87
ขายของ	51
เข้างาน	7
ธุระ	6
ที่พัก	11
เช่า	7
เป็นเพื่อน	12
รายเดือน	7
แบงค์	9
ระบบ	15
ฉีดวัคซีน	6
โอน	13
ทะเบียน	5
ราษฎร์	5
เอกชน	5
ชิน	6
ภาษาไทย	7
มือถือ	27
ออกกำลังกาย	6
ตอนกลางวัน	5
นิดหนึ่ง	10
ความเครียด	5
อร	15
กล่อม	9
กรี๊ด	8
ถึงว่า	5
ข่าว	10
หมายความว่า	7
รัฐ	7
ประกันสังคม	9
ความคิดเห็น	18
ต้องการ	54
ต้องหา	9
เลิก	71
ให้นม	24
พอที่จะ	13
เจ้านาย	6
บังคับ	17
ธรรมดา	22
ไว้ใจ	17
สวัสดิการ	5
เที่ยง	5
แบรนด์	6
คุณย่า	21
สัมภาษณ์	12
หมิว	12
ข้อมูล	36
พนักงาน	7
